
=== Results from: loomrv-benchmark-dense-binary.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
AbsentAQ10 Dense1                                  | 0.09450
AbsentAQ10 Dense10                                 | 0.05357
AbsentAQ10 Dense100                                | 0.05152
AbsentAQ100 Dense1                                 | 0.08694
AbsentAQ100 Dense10                                | 0.04555
AbsentAQ100 Dense100                               | 0.03847
AbsentAQ1000 Dense1                                | 0.08589
AbsentAQ1000 Dense10                               | 0.04336
AbsentAQ1000 Dense100                              | 0.03755
AbsentBQR10 Dense1                                 | 0.14209
AbsentBQR10 Dense10                                | 0.09449
AbsentBQR10 Dense100                               | 0.09432
AbsentBQR100 Dense1                                | 0.10521
AbsentBQR100 Dense10                               | 0.03083
AbsentBQR100 Dense100                              | 0.01449
AbsentBQR1000 Dense1                               | 0.09900
AbsentBQR1000 Dense10                              | 0.02196
AbsentBQR1000 Dense100                             | 0.00550
AbsentBR10 Dense1                                  | 0.07016
AbsentBR10 Dense10                                 | 0.04181
AbsentBR10 Dense100                                | 0.04084
AbsentBR100 Dense1                                 | 0.06731
AbsentBR100 Dense10                                | 0.03690
AbsentBR100 Dense100                               | 0.03207
AbsentBR1000 Dense1                                | 0.06688
AbsentBR1000 Dense10                               | 0.03596
AbsentBR1000 Dense100                              | 0.03193
AlwaysAQ10 Dense1                                  | 0.09149
AlwaysAQ10 Dense10                                 | 0.05053
AlwaysAQ10 Dense100                                | 0.04888
AlwaysAQ100 Dense1                                 | 0.08321
AlwaysAQ100 Dense10                                | 0.04280
AlwaysAQ100 Dense100                               | 0.03591
AlwaysAQ1000 Dense1                                | 0.08254
AlwaysAQ1000 Dense10                               | 0.04129
AlwaysAQ1000 Dense100                              | 0.03505
AlwaysBQR10 Dense1                                 | 0.12741
AlwaysBQR10 Dense10                                | 0.08491
AlwaysBQR10 Dense100                               | 0.08478
AlwaysBQR100 Dense1                                | 0.09374
AlwaysBQR100 Dense10                               | 0.02761
AlwaysBQR100 Dense100                              | 0.01310
AlwaysBQR1000 Dense1                               | 0.08796
AlwaysBQR1000 Dense10                              | 0.02019
AlwaysBQR1000 Dense100                             | 0.00520
AlwaysBR10 Dense1                                  | 0.06754
AlwaysBR10 Dense10                                 | 0.04003
AlwaysBR10 Dense100                                | 0.03874
AlwaysBR100 Dense1                                 | 0.06458
AlwaysBR100 Dense10                                | 0.03547
AlwaysBR100 Dense100                               | 0.03138
AlwaysBR1000 Dense1                                | 0.06355
AlwaysBR1000 Dense10                               | 0.03453
AlwaysBR1000 Dense100                              | 0.03052
RecurBQR10 Dense1                                  | 0.14156
RecurBQR10 Dense10                                 | 0.08067
RecurBQR10 Dense100                                | 0.08095
RecurBQR100 Dense1                                 | 0.11131
RecurBQR100 Dense10                                | 0.02862
RecurBQR100 Dense100                               | 0.01145
RecurBQR1000 Dense1                                | 0.10786
RecurBQR1000 Dense10                               | 0.02270
RecurBQR1000 Dense100                              | 0.00519
RecurGLB10 Dense1                                  | 0.06200
RecurGLB10 Dense10                                 | 0.03651
RecurGLB10 Dense100                                | 0.03669
RecurGLB100 Dense1                                 | 0.04879
RecurGLB100 Dense10                                | 0.01313
RecurGLB100 Dense100                               | 0.00646
RecurGLB1000 Dense1                                | 0.04707
RecurGLB1000 Dense10                               | 0.01066
RecurGLB1000 Dense100                              | 0.00354
RespondBQR10 Dense1                                | 0.21014
RespondBQR10 Dense10                               | 0.14518
RespondBQR10 Dense100                              | 0.14518
RespondBQR100 Dense1                               | 0.15270
RespondBQR100 Dense10                              | 0.04537
RespondBQR100 Dense100                             | 0.02248
RespondBQR1000 Dense1                              | 0.14279
RespondBQR1000 Dense10                             | 0.03039
RespondBQR1000 Dense100                            | 0.00703
RespondGLB10 Dense1                                | 0.11559
RespondGLB10 Dense10                               | 0.07136
RespondGLB10 Dense100                              | 0.07124
